Time,Index,Battery,Mag_X[uT],Mag_Y[uT],Mag_Z[uT],Acc_X[G],Acc_Y[G],Acc_Z[G],UV INDEX,AmbientLight[Lx],Humidity[%RH],Temperature[degC],Pressure[hPa]
2023/06/19 18:20:59.587,210,2.94,-17.6,37.9,-16.6,0.076,0.972,-0.029,0.2,17.8,68.14,24.56,992.76
2023/06/19 18:21:00.577,211,2.94,-18.3,38.3,-13.2,0.077,0.973,-0.029,0.1,22.4,68.20,24.56,992.76
2023/06/19 18:21:01.567,212,2.94,-18.6,37.6,-16.2,0.075,0.973,-0.029,0.2,19.8,68.13,24.54,992.73
2023/06/19 18:21:02.557,213,2.94,-17.9,36.5,-12.4,0.076,0.973,-0.029,0.5,19.7,68.07,24.56,992.76
2023/06/19 18:21:03.547,214,2.94,-17.6,38.3,-13.9,0.076,0.973,-0.029,0.4,19.7,68.08,24.52,992.78
2023/06/19 18:21:04.537,215,2.94,-19.0,37.6,-12.1,0.077,0.972,-0.028,0.4,18.9,68.17,24.54,992.76
2023/06/19 18:21:05.527,216,2.94,-18.3,40.5,-12.1,0.076,0.973,-0.029,0.1,19.4,68.12,24.49,992.70
2023/06/19 18:21:06.517,217,2.94,-18.6,38.3,-13.2,0.076,0.972,-0.028,0.1,20.1,68.10,24.54,992.76
2023/06/19 18:21:07.507,218,2.94,-19.4,36.8,-12.8,0.076,0.971,-0.029,0.2,19.9,68.13,24.51,992.76
2023/06/19 18:21:08.497,219,2.94,-17.6,37.6,-11.7,0.075,0.972,-0.029,0.3,18.2,68.04,24.56,992.73
2023/06/19 18:21:09.487,220,2.94,-16.4,36.8,-12.4,0.075,0.972,-0.029,0.0,20.6,68.21,24.58,992.78
2023/06/19 18:21:10.477,221,2.94,-17.9,37.2,-13.9,0.076,0.973,-0.029,0.3,20.1,68.11,24.56,992.81
2023/06/19 18:21:11.467,222,2.94,-17.6,37.6,-11.7,0.076,0.972,-0.029,0.3,20.1,68.08,24.52,992.76
2023/06/19 18:21:12.457,223,2.94,-18.3,37.9,-13.6,0.076,0.973,-0.029,0.1,20.2,68.16,24.56,992.70
2023/06/19 18:21:13.457,224,2.94,-16.8,37.9,-11.3,0.076,0.973,-0.029,0.4,19.2,68.11,24.54,992.78
2023/06/19 18:21:14.457,225,2.94,-17.9,38.7,-11.7,0.076,0.973,-0.029,0.4,17.4,68.09,24.60,992.73
2023/06/19 18:21:15.457,226,2.94,-17.9,37.9,-10.9,0.076,0.973,-0.028,0.5,20.7,68.13,24.62,992.78
2023/06/19 18:21:16.457,227,2.94,-17.2,38.3,-14.3,0.076,0.973,-0.029,0.6,21.8,68.15,24.56,992.76
2023/06/19 18:21:17.457,228,2.94,-19.4,37.9,-11.7,0.076,0.972,-0.029,0.3,19.4,68.13,24.54,992.81
2023/06/19 18:21:18.457,229,2.94,-17.2,38.7,-12.1,0.076,0.973,-0.029,0.7,21.3,68.14,24.56,992.73
2023/06/19 18:21:19.457,230,2.94,-19.0,37.9,-10.1,0.075,0.972,-0.028,0.2,18.3,68.12,24.56,992.78
2023/06/19 18:21:20.457,231,2.94,-17.9,38.3,-9.8,0.076,0.972,-0.029,0.1,19.4,68.15,24.56,992.65
2023/06/19 18:21:21.457,232,2.94,-17.2,38.3,-12.1,0.076,0.974,-0.029,0.2,18.6,68.09,24.52,992.68
2023/06/19 18:21:22.457,233,2.94,-18.6,37.9,-13.2,0.075,0.972,-0.029,0.1,18.6,68.14,24.56,992.73
2023/06/19 18:21:23.457,234,2.94,-18.6,36.8,-10.9,0.076,0.973,-0.029,0.4,17.4,68.04,24.54,992.76
2023/06/19 18:21:24.457,235,2.94,-19.8,37.6,-12.4,0.076,0.972,-0.029,0.2,20.2,68.10,24.54,992.81
2023/06/19 18:21:25.457,236,2.94,-17.2,36.8,-12.8,0.076,0.973,-0.029,0.1,19.7,68.11,24.56,992.81
2023/06/19 18:21:26.457,237,2.94,-18.3,37.9,-12.4,0.076,0.973,-0.028,0.0,20.6,68.11,24.58,992.76
2023/06/19 18:21:27.457,238,2.94,-17.9,37.9,-13.9,0.075,0.972,-0.029,0.1,17.9,68.12,24.56,992.76
2023/06/19 18:21:28.457,239,2.94,-18.6,39.4,-14.7,0.076,0.973,-0.029,0.2,22.2,68.12,24.54,992.76
2023/06/19 18:21:29.457,240,2.94,-19.0,36.5,-12.1,0.075,0.973,-0.030,0.2,19.1,68.15,24.54,992.68
